"rgn_id","year","count"
8,2002,18942214.2007332
2,2002,18942214.2007332
4,2002,18942214.2007332
6,2002,18942214.2007332
12,2002,18942214.2007332
10,2002,18942214.2007332
1,2002,18942214.2007332
11,2002,18942214.2007332
7,2002,18942214.2007332
3,2002,18942214.2007332
5,2003,19761085.2651141
9,2003,19761085.2651141
8,2003,19761085.2651141
2,2003,19761085.2651141
4,2003,19761085.2651141
6,2003,19761085.2651141
12,2003,19761085.2651141
10,2003,19761085.2651141
1,2003,19761085.2651141
11,2003,19761085.2651141
7,2003,19761085.2651141
3,2003,19761085.2651141
5,2004,19606308.2487903
9,2004,19606308.2487903
8,2004,19606308.2487903
2,2004,19606308.2487903
4,2004,19606308.2487903
6,2004,19606308.2487903
12,2004,19606308.2487903
10,2004,19606308.2487903
1,2004,19606308.2487903
11,2004,19606308.2487903
7,2004,19606308.2487903
3,2004,19606308.2487903
5,2005,19908904.4038617
9,2005,19908904.4038617
8,2005,19908904.4038617
2,2005,19908904.4038617
4,2005,19908904.4038617
6,2005,19908904.4038617
12,2005,19908904.4038617
10,2005,19908904.4038617
1,2005,19908904.4038617
11,2005,19908904.4038617
7,2005,19908904.4038617
3,2005,19908904.4038617
5,2006,19722094.7729418
9,2006,19722094.7729418
8,2006,19722094.7729418
2,2006,19722094.7729418
4,2006,19722094.7729418
6,2006,19722094.7729418
12,2006,19722094.7729418
10,2006,19722094.7729418
1,2006,19722094.7729418
11,2006,19722094.7729418
7,2006,19722094.7729418
3,2006,19722094.7729418
5,2007,19886740.9556539
9,2007,19886740.9556539
8,2007,19886740.9556539
2,2007,19886740.9556539
4,2007,19886740.9556539
6,2007,19886740.9556539
12,2007,19886740.9556539
10,2007,19886740.9556539
1,2007,19886740.9556539
11,2007,19886740.9556539
7,2007,19886740.9556539
3,2007,19886740.9556539
5,2008,20455633.7103048
9,2008,20455633.7103048
8,2008,20455633.7103048
2,2008,20455633.7103048
4,2008,20455633.7103048
6,2008,20455633.7103048
12,2008,20455633.7103048
10,2008,20455633.7103048
1,2008,20455633.7103048
11,2008,20455633.7103048
7,2008,20455633.7103048
3,2008,20455633.7103048
5,2009,21645899.6751348
9,2009,21645899.6751348
8,2009,21645899.6751348
2,2009,21645899.6751348
4,2009,21645899.6751348
6,2009,21645899.6751348
12,2009,21645899.6751348
10,2009,21645899.6751348
1,2009,21645899.6751348
11,2009,21645899.6751348
7,2009,21645899.6751348
3,2009,21645899.6751348
5,2010,22201271.9018582
9,2010,22201271.9018582
8,2010,22201271.9018582
2,2010,22201271.9018582
4,2010,22201271.9018582
6,2010,22201271.9018582
12,2010,22201271.9018582
