"rgn_id","year","percent"
4,1999,20.1000003814697
6,1999,20.1000003814697
12,1999,20.1000003814697
10,1999,20.1000003814697
1,1999,20.1000003814697
11,1999,20.1000003814697
7,1999,20.1000003814697
3,1999,20.1000003814697
5,2000,16.6000003814697
9,2000,16.6000003814697
8,2000,16.6000003814697
2,2000,16.6000003814697
4,2000,16.6000003814697
6,2000,16.6000003814697
12,2000,16.6000003814697
10,2000,16.6000003814697
1,2000,16.6000003814697
11,2000,16.6000003814697
7,2000,16.6000003814697
3,2000,16.6000003814697
5,2001,15.1000003814697
9,2001,15.1000003814697
8,2001,15.1000003814697
2,2001,15.1000003814697
4,2001,15.1000003814697
6,2001,15.1000003814697
12,2001,15.1000003814697
10,2001,15.1000003814697
1,2001,15.1000003814697
11,2001,15.1000003814697
7,2001,15.1000003814697
3,2001,15.1000003814697
5,2002,15.8000001907349
9,2002,15.8000001907349
8,2002,15.8000001907349
2,2002,15.8000001907349
4,2002,15.8000001907349
6,2002,15.8000001907349
12,2002,15.8000001907349
10,2002,15.8000001907349
1,2002,15.8000001907349
11,2002,15.8000001907349
7,2002,15.8000001907349
3,2002,15.8000001907349
5,2003,14.1000003814697
9,2003,14.1000003814697
8,2003,14.1000003814697
2,2003,14.1000003814697
4,2003,14.1000003814697
6,2003,14.1000003814697
12,2003,14.1000003814697
10,2003,14.1000003814697
1,2003,14.1000003814697
11,2003,14.1000003814697
7,2003,14.1000003814697
3,2003,14.1000003814697
5,2004,14.3000001907349
9,2004,14.3000001907349
8,2004,14.3000001907349
2,2004,14.3000001907349
4,2004,14.3000001907349
6,2004,14.3000001907349
12,2004,14.3000001907349
10,2004,14.3000001907349
1,2004,14.3000001907349
11,2004,14.3000001907349
7,2004,14.3000001907349
3,2004,14.3000001907349
5,2005,12
9,2005,12
8,2005,12
2,2005,12
4,2005,12
6,2005,12
12,2005,12
10,2005,12
1,2005,12
11,2005,12
7,2005,12
3,2005,12
5,2006,11.6999998092651
9,2006,11.6999998092651
8,2006,11.6999998092651
2,2006,11.6999998092651
4,2006,11.6999998092651
6,2006,11.6999998092651
12,2006,11.6999998092651
10,2006,11.6999998092651
1,2006,11.6999998092651
11,2006,11.6999998092651
7,2006,11.6999998092651
3,2006,11.6999998092651
5,2007,11.1999998092651
9,2007,11.1999998092651
8,2007,11.1999998092651
2,2007,11.1999998092651
4,2007,11.1999998092651
6,2007,11.1999998092651
12,2007,11.1999998092651
10,2007,11.1999998092651
1,2007,11.1999998092651
11,2007,11.1999998092651
7,2007,11.1999998092651
3,2007,11.1999998092651
5,2008,11.1000003814697
9,2008,11.1000003814697
8,2008,11.1000003814697
2,2008,11.1000003814697
4,2008,11.1000003814697
6,2008,11.1000003814697
12,2008,11.1000003814697
10,2008,11.1000003814697
1,2008,11.1000003814697
11,2008,11.1000003814697
7,2008,11.1000003814697
3,2008,11.1000003814697
5,2009,11.8000001907349
9,2009,11.8000001907349
8,2009,11.8000001907349
2,2009,11.8000001907349
4,2009,11.8000001907349
6,2009,11.8000001907349
12,2009,11.8000001907349
10,2009,11.8000001907349
1,2009,11.8000001907349
11,2009,11.8000001907349
7,2009,11.8000001907349
3,2009,11.8000001907349
5,2010,12
9,2010,12
8,2010,12
2,2010,12
4,2010,12
6,2010,12
12,2010,12
10,2010,12
1,2010,12
11,2010,12
7,2010,12
3,2010,12
5,2011,11.1000003814697
9,2011,11.1000003814697
8,2011,11.1000003814697
2,2011,11.1000003814697
4,2011,11.1000003814697
6,2011,11.1000003814697
12,2011,11.1000003814697
10,2011,11.1000003814697
1,2011,11.1000003814697
11,2011,11.1000003814697
7,2011,11.1000003814697
3,2011,11.1000003814697
5,2012,10.6000003814697
9,2012,10.6000003814697
8,2012,10.6000003814697
2,2012,10.6000003814697
4,2012,10.6000003814697
6,2012,10.6000003814697
12,2012,10.6000003814697
10,2012,10.6000003814697
1,2012,10.6000003814697
11,2012,10.6000003814697
7,2012,10.6000003814697
3,2012,10.6000003814697
