"rgn_id","count","year"
3,37901358,1997
5,38568056,1998
9,38568056,1998
8,38568056,1998
2,38568056,1998
4,38568056,1998
6,38568056,1998
12,38568056,1998
10,38568056,1998
1,38568056,1998
11,38568056,1998
7,38568056,1998
3,38568056,1998
5,39234115,1999
9,39234115,1999
8,39234115,1999
2,39234115,1999
4,39234115,1999
6,39234115,1999
12,39234115,1999
10,39234115,1999
1,39234115,1999
11,39234115,1999
7,39234115,1999
3,39234115,1999
5,39897984,2000
9,39897984,2000
8,39897984,2000
2,39897984,2000
4,39897984,2000
6,39897984,2000
12,39897984,2000
10,39897984,2000
1,39897984,2000
11,39897984,2000
7,39897984,2000
3,39897984,2000
5,40558648,2001
9,40558648,2001
8,40558648,2001
2,40558648,2001
4,40558648,2001
6,40558648,2001
12,40558648,2001
10,40558648,2001
1,40558648,2001
11,40558648,2001
7,40558648,2001
3,40558648,2001
5,41216304,2002
9,41216304,2002
8,41216304,2002
2,41216304,2002
4,41216304,2002
6,41216304,2002
12,41216304,2002
10,41216304,2002
1,41216304,2002
11,41216304,2002
7,41216304,2002
3,41216304,2002
5,41872051,2003
9,41872051,2003
8,41872051,2003
2,41872051,2003
4,41872051,2003
6,41872051,2003
12,41872051,2003
10,41872051,2003
1,41872051,2003
11,41872051,2003
7,41872051,2003
3,41872051,2003
5,42527623,2004
9,42527623,2004
8,42527623,2004
2,42527623,2004
4,42527623,2004
6,42527623,2004
12,42527623,2004
10,42527623,2004
1,42527623,2004
11,42527623,2004
7,42527623,2004
3,42527623,2004
5,43184026,2005
9,43184026,2005
8,43184026,2005
2,43184026,2005
4,43184026,2005
6,43184026,2005
12,43184026,2005
10,43184026,2005
1,43184026,2005
11,43184026,2005
7,43184026,2005
3,43184026,2005
5,43841370,2006
9,43841370,2006
8,43841370,2006
2,43841370,2006
4,43841370,2006
6,43841370,2006
12,43841370,2006
10,43841370,2006
1,43841370,2006
11,43841370,2006
7,43841370,2006
3,43841370,2006
5,44498390,2007
9,44498390,2007
8,44498390,2007
2,44498390,2007
4,44498390,2007
6,44498390,2007
12,44498390,2007
10,44498390,2007
1,44498390,2007
11,44498390,2007
7,44498390,2007
3,44498390,2007
5,45153037,2008
9,45153037,2008
8,45153037,2008
2,45153037,2008
4,45153037,2008
6,45153037,2008
12,45153037,2008
10,45153037,2008
1,45153037,2008
11,45153037,2008
7,45153037,2008
3,45153037,2008
5,45802561,2009
9,45802561,2009
8,45802561,2009
2,45802561,2009
4,45802561,2009
6,45802561,2009
12,45802561,2009
10,45802561,2009
1,45802561,2009
11,45802561,2009
7,45802561,2009
3,45802561,2009
5,46444798,2010
9,46444798,2010
8,46444798,2010
2,46444798,2010
4,46444798,2010
6,46444798,2010
12,46444798,2010
10,46444798,2010
1,46444798,2010
11,46444798,2010
7,46444798,2010
3,46444798,2010
5,47078792,2011
9,47078792,2011
8,47078792,2011
2,47078792,2011
4,47078792,2011
6,47078792,2011
12,47078792,2011
10,47078792,2011
1,47078792,2011
11,47078792,2011
7,47078792,2011
3,47078792,2011
5,47704427,2012
9,47704427,2012
8,47704427,2012
2,47704427,2012
4,47704427,2012
6,47704427,2012
12,47704427,2012
10,47704427,2012
1,47704427,2012
11,47704427,2012
7,47704427,2012
3,47704427,2012
