"goal","dimension","region_id","score"
"ECO","status",6,100
"ECO","status",7,100
"ECO","status",8,100
"ECO","status",9,100
"ECO","status",10,100
"ECO","status",11,100
"ECO","status",12,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",3,1
"ECO","trend",4,1
"ECO","trend",5,1
"ECO","trend",6,1
"ECO","trend",7,1
"ECO","trend",8,1
"ECO","trend",9,1
"ECO","trend",10,1
"ECO","trend",11,1
"ECO","trend",12,1
"FIS","future",0,4.17
"FIS","future",1,7.65
"FIS","future",2,0
"FIS","future",3,2.2
"FIS","future",4,3.3
"FIS","future",5,0
"FIS","future",6,0
"FIS","future",7,0
"FIS","future",8,2.2
"FIS","future",9,2.2
"FIS","future",10,2.2
"FIS","future",11,3.3
"FIS","future",12,4.4
"FIS","pressures",1,31.26
"FIS","pressures",2,31.24
"FIS","pressures",3,31.26
"FIS","pressures",4,31.25
"FIS","pressures",5,31.26
"FIS","pressures",6,31.26
"FIS","pressures",7,31.26
"FIS","pressures",8,31.31
"FIS","pressures",9,31.41
"FIS","pressures",10,31.27
"FIS","pressures",11,31.25
"FIS","pressures",12,31.26
"FIS","resilience",1,61.27
"FIS","resilience",2,61.27
"FIS","resilience",3,61.27
"FIS","resilience",4,61.27
"FIS","resilience",5,61.27
"FIS","resilience",6,61.27
"FIS","resilience",7,61.27
"FIS","resilience",8,61.27
"FIS","resilience",9,61.27
"FIS","resilience",10,61.27
"FIS","resilience",11,61.27
"FIS","resilience",12,61.27
"FIS","score",0,3.99
"FIS","score",1,7.32
"FIS","score",2,0
"FIS","score",3,2.1
"FIS","score",4,3.15
"FIS","score",5,0
"FIS","score",6,0
"FIS","score",7,0
"FIS","score",8,2.1
"FIS","score",9,2.1
"FIS","score",10,2.1
"FIS","score",11,3.15
"FIS","score",12,4.2
"FIS","status",0,3.81
"FIS","status",1,7
"FIS","status",2,0
"FIS","status",3,2
"FIS","status",4,3
"FIS","status",5,0
"FIS","status",6,0
"FIS","status",7,0
"FIS","status",8,2
"FIS","status",9,2
"FIS","status",10,2
"FIS","status",11,3
"FIS","status",12,4
"FIS","trend",1,-0.01
"FIS","trend",2,0
"FIS","trend",3,0
"FIS","trend",4,0
"FIS","trend",5,0
"FIS","trend",6,0
"FIS","trend",7,0
"FIS","trend",8,0
"FIS","trend",9,0
"FIS","trend",10,0
"FIS","trend",11,0
"FIS","trend",12,0
"FP","future",0,9.27
"FP","future",1,11.29
"FP","future",2,7.15
"FP","future",3,6.27
"FP","future",4,21.61
"FP","future",5,4.33
"FP","future",6,2.65
"FP","future",7,2.77
"FP","future",8,2.8
"FP","future",9,1.94
"FP","future",10,3.88
"FP","future",11,9.76
"FP","future",12,9.06
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","pressures",5,
"FP","pressures",6,
"FP","pressures",7,
"FP","pressures",8,
"FP","pressures",9,
"FP","pressures",10,
"FP","pressures",11,
"FP","pressures",12,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","resilience",5,
"FP","resilience",6,
"FP","resilience",7,
"FP","resilience",8,
"FP","resilience",9,
"FP","resilience",10,
"FP","resilience",11,
"FP","resilience",12,
"FP","score",0,9.71
"FP","score",1,11.63
"FP","score",2,8.95
"FP","score",3,6.5
"FP","score",4,21.75
"FP","score",5,4.57
"FP","score",6,2.69
"FP","score",7,2.82
"FP","score",8,2.7
"FP","score",9,1.86
"FP","score",10,3.82
"FP","score",11,11.24
"FP","score",12,9.87
"FP","status",0,10.16
"FP","status",1,11.97
"FP","status",2,10.74
"FP","status",3,6.74
"FP","status",4,21.89
"FP","status",5,4.81
"FP","status",6,2.74
"FP","status",7,2.88
"FP","status",8,2.61
"FP","status",9,1.78
"FP","status",10,3.76
"FP","status",11,12.73
"FP","status",12,10.68
"FP","trend",1,-0.09
"FP","trend",2,-0.14
"FP","trend",3,-0.06
"FP","trend",4,-0.03
"FP","trend",5,-0.06
"FP","trend",6,-0.03
"FP","trend",7,-0.04
"FP","trend",8,-0.01
"FP","trend",9,0
"FP","trend",10,-0.03
"FP","trend",11,-0.13
"FP","trend",12,-0.11
"HAB","future",0,52.95
"HAB","future",1,52.95
"HAB","future",2,52.96
"HAB","future",3,52.95
"HAB","future",4,52.96
"HAB","future",5,52.95
"HAB","future",6,52.95
"HAB","future",7,52.95
"HAB","future",8,52.94
"HAB","future",9,52.92
"HAB","future",10,52.95
"HAB","future",11,52.96
"HAB","future",12,52.95
"HAB","pressures",1,34.43
"HAB","pressures",2,34.41
"HAB","pressures",3,34.43
"HAB","pressures",4,34.42
"HAB","pressures",5,34.43
"HAB","pressures",6,34.43
"HAB","pressures",7,34.43
"HAB","pressures",8,34.49
"HAB","pressures",9,34.61
"HAB","pressures",10,34.44
"HAB","pressures",11,34.41
"HAB","pressures",12,34.43
"HAB","resilience",1,61.67
"HAB","resilience",2,61.67
"HAB","resilience",3,61.67
"HAB","resilience",4,61.67
"HAB","resilience",5,61.67
"HAB","resilience",6,61.67
"HAB","resilience",7,61.67
"HAB","resilience",8,61.67
"HAB","resilience",9,61.67
"HAB","resilience",10,61.67
"HAB","resilience",11,61.67
"HAB","resilience",12,61.67
"HAB","score",0,59.56
"HAB","score",1,59.56
"HAB","score",2,59.56
"HAB","score",3,59.56
"HAB","score",4,59.56
"HAB","score",5,59.56
"HAB","score",6,59.56
"HAB","score",7,59.56
"HAB","score",8,59.55
"HAB","score",9,59.54
"HAB","score",10,59.56
"HAB","score",11,59.56
"HAB","score",12,59.56
"HAB","status",0,66.16
"HAB","status",1,66.16
"HAB","status",2,66.16
"HAB","status",3,66.16
"HAB","status",4,66.16
"HAB","status",5,66.16
"HAB","status",6,66.16
"HAB","status",7,66.16
"HAB","status",8,66.16
"HAB","status",9,66.16
"HAB","status",10,66.16
"HAB","status",11,66.16
"HAB","status",12,66.16
"HAB","trend",1,-0.43
"HAB","trend",2,-0.43
"HAB","trend",3,-0.43
"HAB","trend",4,-0.43
"HAB","trend",5,-0.43
"HAB","trend",6,-0.43
"HAB","trend",7,-0.43
"HAB","trend",8,-0.43
"HAB","trend",9,-0.43
"HAB","trend",10,-0.43
"HAB","trend",11,-0.43
"HAB","trend",12,-0.43
"ICO","future",0,51.03
"ICO","future",1,51.03
"ICO","future",2,51.04
"ICO","future",3,51.04
"ICO","future",4,51.04
"ICO","future",5,51.04
